company,name,year,TA,size,liquid_ratio,Operating_Expense_Ratio,Cash_Flow_Ratio,GDP,PAC,underwriting_revenue,brokerage_revenue,netprofit_growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000980,元大證券,2003,30270798,17,123.78,73.83,17.64,4.22,0,80234,1967385,81.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,凱基證券,2003,94139254,18,119.98,72.62,1.97,4.22,0,163843,2254988,63.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,康和證券,2003,15972776,17,132.14,75.93,8.95,4.22,0,7164,925086,"2,903.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000960,富邦證券,2003,54672195,18,213.27,56.9,8,4.22,0,88112,3136236,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000884,玉山證券,2003,7270015,16,154.99,77.7,36.26,4.22,0,2008,134490,684.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000616,中信證券,2003,9080456,16,218.43,56.65,0.64,4.22,0,191347,228171,177.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,群益證券,2003,51106083,18,129.78,60.61,19.1,4.22,0,70994,1881229,23.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000815,台新證券,2003,247050,12,"1,932.58",167.66,77.44,4.22,0,0,20347,81.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000116,日盛證券,2003,44213644,18,143.01,90.95,22.83,4.22,0,61704,2886595,144.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000888,國泰證券,2003,5538258,16,189.13,54.67,9.04,4.22,0,13557,142065,308.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000930,華南永昌證券,2003,25266517,17,128.92,61.87,5.83,4.22,0,70563,1615600,51.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009A0,永豐金證券,2003,61028447,18,152.77,53.41,8.13,4.22,0,295500,3173126,34.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000885,鑫豐證券,2003,202393,12,"1,174.67",118.41,133.34,4.22,0,2,46791,139.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000779,國票證券,2003,17591140,17,157.26,93.99,25.61,4.22,0,13377,1022881,207.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,元富證券,2003,50966944,18,143.79,60.66,16.35,4.22,0,145264,1766504,89.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000102,合作金庫證券,2003,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000025,基富通證券,2003,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,寶來證券,2003,64480707,18,127.94,69.26,8.97,4.22,6,75896,3219740,45.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6024,群益期貨,2003,4247284,15,118.04,34.92,3.59,4.22,0,0,441275,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026000,富邦期貨,2003,4848667,15,114.52,25.73,2.69,4.22,0,0,531190,71.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31872,元大期貨,2003,7439844,16,108.5,28.89,3.08,4.22,0,0,968953,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869,元富期貨,2003,4369063,15,119.23,33.83,4.74,6.95,0,0,520866,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000980,元大證券,2004,41073557,18,119.25,77.27,2.55,6.95,0,32726,2534714,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,凱基證券,2004,113652917,19,130.84,60.22,1.41,6.95,0,266179,3621700,46.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,康和證券,2004,16979469,17,146.92,72.06,3.58,6.95,0,5638,1111780,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000960,富邦證券,2004,59230801,18,210.26,56.45,8.02,6.95,0,190391,3606488,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000884,玉山證券,2004,5901377,16,184.58,99.58,9.24,6.95,0,22006,262361,43.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
