company,name,year,month,TA_turnover,AR_turnover
000156,港商野村,2024,12,,
000020,遠智證券,2023,12,0.35,12.07
000025,基富通證券,2023,12,0.5,5.51
000027,大華銀行台北,2023,12,0,0
000029,台灣巴克萊證券,2023,12,0.13,0
0000A1,好好證券,2023,12,0.01,9.23
000102,合作金庫證券,2023,12,0.06,0.17
000104,臺銀證券,2023,12,0.09,0.26
000136,麥格理資本,2023,12,0.09,0.11
000138,台灣匯立證券,2023,12,0.3,0.57
000144,美林證券,2023,12,0.11,0.33
000147,台灣摩根士丹,2023,12,0.07,0.28
000148,美商高盛,2023,12,0.21,0.55
000152,瑞士信貸,2023,12,0.03,0.23
000156,港商野村,2023,12,0.11,0.2
000157,香港商法國興業證券,2023,12,0.08,0.34
000159,花旗環球證券,2023,12,0.21,0.53
000165,新加坡商瑞銀證券,2023,12,0.1,0.13
000218,亞東證券,2023,12,0.03,1.18
000280,法國興業銀台北分行,2023,12,0.13,0.9
000511,富隆證券,2023,12,0.01,1.33
000532,高橋證券,2023,12,0.13,0.56
000538,第一金證,2023,12,0.09,0.51
000546,寶盛證券,2023,12,0.05,0.59
000560,永興證券,2023,12,0.14,0.77
000566,日進證券,2023,12,0.09,0.3
000586,盈溢證券,2023,12,0.04,0.49
000596,日茂證券,2023,12,0.09,0.44
000601,奔亞證券,2023,12,0.01,0.06
000611,台中銀證,2023,12,0.17,0.54
000616,中信證券,2023,12,0.11,0.82
000621,新百王證券,2023,12,0.06,0.16
000638,光和證券,2023,12,0.15,0.48
000645,永全證券,2023,12,0.1,0.28
000646,大昌證券,2023,12,0.1,0.47
000662,口袋證券,2023,12,0.04,0.08
000695,福勝證券,2023,12,0.11,0.38
000700,兆豐證券,2023,12,0.08,0.44
000708,石橋證券,2023,12,0.13,0.64
000775,北城證券,2023,12,0.11,0.24
000779,國票證券,2023,12,0.06,0.46
000815,台新證券,2023,12,0.1,0.77
000838,安泰證券,2023,12,0.11,0.31
000844,摩根大通,2023,12,0.08,0.43
000849,京城證券,2023,12,0.09,0.38
000852,中農證券,2023,12,0.07,0.28
000856,新光證券,2023,12,0.1,0.54
000871,陽信證券,2023,12,0.11,0.27
000884,玉山證券,2023,12,0.16,0.82
000888,國泰證券,2023,12,0.12,0.47
000889,大和國泰,2023,12,0.07,0.09
000890,法銀巴黎證券,2023,12,0.09,0.15
000896,香港上海匯豐,2023,12,0.12,0.2
000930,華南永昌證券,2023,12,0.09,0.58
000960,富邦證券,2023,12,0.1,0.97
000980,元大證券,2023,12,0.07,1.04
0009A0,永豐金證券,2023,12,0.08,0.91
002011,愛德盟期貨,2023,12,0.03,9.46
021011,國泰期貨,2023,12,0.03,"7,407.17"
021021,永豐期貨,2023,12,0.04,"4,646.44"
021041,凱基期貨,2023,12,0.05,14.36
021051,國票期貨,2023,12,0.03,"9,089.67"
021141,華南期貨,2023,12,0.06,"4,193.25"
021301,兆豐期貨,2023,12,0.04,699.96
021341,澳帝華期貨,2023,12,0.5,416.11
021391,大昌期貨,2023,12,0.08,470.78
021401,台新期貨,2023,12,0.02,0
026000,富邦期貨,2023,12,0.04,189.19
2855,統一證,2023,12,0.08,0.65
2856,元富證,2023,12,0.07,0.45
5833,元大證金,2023,12,0.02,0
5864,致和證,2023,12,0.17,1.38
5866,統一期,2023,12,0.03,0
5867,康和期,2023,12,0.08,"1,265.30"
5869,元富期,2023,12,0.04,616.06
6005,群益證,2023,12,0.06,1.14
6008,凱基證,2023,12,0.07,0.66
6015,宏遠證,2023,12,0.1,0.49
6016,康和證,2023,12,0.09,0.65
6020,大展證,2023,12,0.08,2.36
6021,美好證,2023,12,0.08,0.49
6023,元大期,2023,12,0.03,25.09
6024,群益期,2023,12,0.04,78.84
6026,福邦證,2023,12,0.12,3.38
6027,德信,2023,12,0.22,1.04
M3000,証券,2023,12,0.06,0.95
OTC30,證券類,2023,12,0.06,1.06
T3000,證券上市櫃及金控旗下,2023,12,0.07,0.91
000020,遠智證券,2022,12,0.23,10.25
000022,富拉凱證券,2022,12,0,0
000025,基富通證券,2022,12,0.49,5.57
000027,大華銀行台北,2022,12,0,0
000029,台灣巴克萊證券,2022,12,,
0000A1,好好證券,2022,12,0,4.39
000102,合作金庫證券,2022,12,0.05,0.16
000104,臺銀證券,2022,12,0.05,0.16
000116,日盛證券,2022,12,0.08,0.71
000136,麥格理資本,2022,12,0.05,0.07
000138,台灣匯立證券,2022,12,0.19,0.29
000144,美林證券,2022,12,0.09,0.36
000147,台灣摩根士丹,2022,12,0.08,0.28
000148,美商高盛,2022,12,0.32,1.03
000152,瑞士信貸,2022,12,0.08,0.45
000156,港商野村,2022,12,0.11,0.29
000157,香港商法國興業證券,2022,12,0.07,0.44
000159,花旗環球證券,2022,12,0.2,0.52
000165,新加坡商瑞銀證券,2022,12,0.14,0.2
000218,亞東證券,2022,12,0,0.04
000280,法國興業銀台北分行,2022,12,0.31,1.64
000511,富隆證券,2022,12,0.01,0.15
000532,高橋證券,2022,12,0.1,0.42
000538,第一金證,2022,12,0.06,0.33
000546,寶盛證券,2022,12,0.04,0.47
000560,永興證券,2022,12,0.11,0.61
000566,日進證券,2022,12,0.08,0.27
000586,盈溢證券,2022,12,0.03,0.41
000596,日茂證券,2022,12,0.07,0.33
000601,奔亞證券,2022,12,0.02,0.2
000611,台中銀證,2022,12,0.07,0.24
000616,中信證券,2022,12,0.06,0.52
000621,新百王證券,2022,12,0.05,0.11
000638,光和證券,2022,12,0.11,0.4
000645,永全證券,2022,12,0.09,0.23
000646,大昌證券,2022,12,0.1,0.52
000662,口袋證券,2022,12,0.02,0.13
000695,福勝證券,2022,12,0.09,0.29
000700,兆豐證券,2022,12,0.05,0.26
000708,石橋證券,2022,12,0.14,0.69
000775,北城證券,2022,12,0.08,0.2
000779,國票證券,2022,12,0.05,0.42
000815,台新證券,2022,12,0.06,0.52
000838,安泰證券,2022,12,0.08,0.27
000844,摩根大通,2022,12,0.09,0.59
000849,京城證券,2022,12,0.04,0.26
000852,中農證券,2022,12,0.06,0.27
000856,新光證券,2022,12,0.08,0.41
000871,陽信證券,2022,12,0.09,0.24
000884,玉山證券,2022,12,0.12,0.68
000888,國泰證券,2022,12,0.1,0.4
000889,大和國泰,2022,12,0.1,0.19
000890,法銀巴黎證券,2022,12,0.11,0.2
000896,香港上海匯豐,2022,12,0.14,0.27
000930,華南永昌證券,2022,12,0.08,0.41
000960,富邦證券,2022,12,0.07,0.78
000980,元大證券,2022,12,0.06,0.86
0009A0,永豐金證券,2022,12,0.06,0.75
002011,愛德盟期貨,2022,12,0.06,27.61
021011,國泰期貨,2022,12,0.03,"6,061.18"
021021,永豐期貨,2022,12,0.04,"1,927.86"
021041,凱基期貨,2022,12,0.07,21.04
021051,國票期貨,2022,12,0.04,"34,589.91"
021071,日盛期貨,2022,12,0.06,786.61
021141,華南期貨,2022,12,0.08,"12,218.03"
021301,兆豐期貨,2022,12,0.05,848.93
021341,澳帝華期貨,2022,12,0.57,348.21
021391,大昌期貨,2022,12,0.1,489.63
021401,台新期貨,2022,12,,
026000,富邦期貨,2022,12,0.03,174.79
2855,統一證,2022,12,0.06,0.47
2856,元富證,2022,12,0.04,0.26
5833,元大證金,2022,12,0.02,0
5864,致和證,2022,12,0.01,0.05
5866,統一期,2022,12,0.03,0
5867,康和期,2022,12,0.11,"1,236.48"
5869,元富期,2022,12,0.04,734.56
6005,群益證,2022,12,0.04,0.94
6008,凱基證,2022,12,0.05,0.59
6015,宏遠證,2022,12,0.05,0.23
6016,康和證,2022,12,0.05,0.36
6020,大展證,2022,12,0.02,0.26
6021,美好證,2022,12,0.06,0.36
6023,元大期,2022,12,0.04,294.72
6024,群益期,2022,12,0.06,171.21
6026,福邦證,2022,12,0.02,0.62
6027,德信,2022,12,0.01,0.03
M3000,証券,2022,12,0.05,0.78
OTC30,證券類,2022,12,0.04,0.61
T3000,證券上市櫃及金控旗下,2022,12,0.06,0.72
000020,遠智證券,2021,12,0.66,10.04
000022,富拉凱證券,2021,12,0,0
000025,基富通證券,2021,12,0.55,6.16
000027,大華銀行台北,2021,12,0,0
000098,曙光證券,2021,12,0.01,0
0000A1,好好證券,2021,12,0,0
000102,合作金庫證券,2021,12,0.07,0.17
000104,臺銀證券,2021,12,0.09,0.26
000116,日盛證券,2021,12,0.1,0.77
000136,麥格理資本,2021,12,0.08,0.1
000138,台灣匯立證券,2021,12,0.18,0.23
000144,美林證券,2021,12,0.1,0.33
